code,label,total,age,male,female
FI1D2,Pohjois-Savo (NUTS 2021),:,30-34,:,:
FI1D3,Pohjois-Karjala (NUTS 2021),:,30-34,:,:
FI1D5,Keski-Pohjanmaa,3825,30-34,2001,1824
FI1D7,Lappi,10874,30-34,5570,5304
FI1D8,Kainuu,3603,30-34,1943,1660
FI1D9,Pohjois-Pohjanmaa,26902,30-34,14133,12769
FI1DA,Etelä-Savo,6264,30-34,3270,2994
FI1DB,Pohjois-Savo,14992,30-34,7809,7183
FI1DC,Pohjois-Karjala,9401,30-34,5038,4363
FI2,Åland,1919,30-34,995,924
FI20,Åland,1919,30-34,995,924
FI200,Åland,1919,30-34,995,924
FI,Finland,369160,35-39,190825,178335
FI1,Manner-Suomi,367191,35-39,189822,177369
FI19,Länsi-Suomi,87281,35-39,45072,42209
FI193,Keski-Suomi (NUTS 2021),:,35-39,:,:
FI194,Etelä-Pohjanmaa (NUTS 2021),:,35-39,:,:
FI195,Pohjanmaa (NUTS 2021),:,35-39,:,:
FI196,Satakunta,12242,35-39,6313,5929
FI197,Pirkanmaa (NUTS 2021),:,35-39,:,:
FI198,Keski-Suomi,16693,35-39,8641,8052
FI199,Etelä-Pohjanmaa,10907,35-39,5657,5250
FI19A,Pohjanmaa,11029,35-39,5701,5328
FI19B,Pirkanmaa,36410,35-39,18760,17650
FI1B,Helsinki-Uusimaa,135163,35-39,69625,65538
FI1B1,Helsinki-Uusimaa,135163,35-39,69625,65538
FI1C,Etelä-Suomi,68649,35-39,35471,33178
FI1C1,Varsinais-Suomi,31502,35-39,16361,15141
FI1C2,Kanta-Häme,9843,35-39,4986,4857
FI1C3,Päijät-Häme (NUTS 2021),:,35-39,:,:
FI1C4,Kymenlaakso (NUTS 2021),:,35-39,:,:
FI1C5,Etelä-Karjala,6907,35-39,3627,3280
FI1C6,Päijät-Häme,11721,35-39,6000,5721
FI1C7,Kymenlaakso,8676,35-39,4497,4179
FI1D,Pohjois- ja Itä-Suomi,76098,35-39,39654,36444
FI1D1,Etelä-Savo (NUTS 2021),:,35-39,:,:
FI1D2,Pohjois-Savo (NUTS 2021),:,35-39,:,:
FI1D3,Pohjois-Karjala (NUTS 2021),:,35-39,:,:
FI1D5,Keski-Pohjanmaa,4144,35-39,2151,1993
FI1D7,Lappi,10711,35-39,5454,5257
FI1D8,Kainuu,3940,35-39,2067,1873
FI1D9,Pohjois-Pohjanmaa,26094,35-39,13658,12436
FI1DA,Etelä-Savo,6838,35-39,3630,3208
FI1DB,Pohjois-Savo,14992,35-39,7816,7176
FI1DC,Pohjois-Karjala,9379,35-39,4878,4501
FI2,Åland,1969,35-39,1003,966
FI20,Åland,1969,35-39,1003,966
FI200,Åland,1969,35-39,1003,966
FI,Finland,366662,40-44,188911,177751
FI1,Manner-Suomi,364660,40-44,187897,176763
FI19,Länsi-Suomi,87933,40-44,45420,42513
FI193,Keski-Suomi (NUTS 2021),:,40-44,:,:
FI194,Etelä-Pohjanmaa (NUTS 2021),:,40-44,:,:
FI195,Pohjanmaa (NUTS 2021),:,40-44,:,:
FI196,Satakunta,12757,40-44,6604,6153
FI197,Pirkanmaa (NUTS 2021),:,40-44,:,:
FI198,Keski-Suomi,16776,40-44,8621,8155
FI199,Etelä-Pohjanmaa,11415,40-44,5806,5609
FI19A,Pohjanmaa,11287,40-44,5952,5335
FI19B,Pirkanmaa,35698,40-44,18437,17261
FI1B,Helsinki-Uusimaa,129797,40-44,66862,62935
FI1B1,Helsinki-Uusimaa,129797,40-44,66862,62935
FI1C,Etelä-Suomi,70684,40-44,36097,34587
FI1C1,Varsinais-Suomi,31411,40-44,15926,15485
FI1C2,Kanta-Häme,10470,40-44,5307,5163
FI1C3,Päijät-Häme (NUTS 2021),:,40-44,:,:
FI1C4,Kymenlaakso (NUTS 2021),:,40-44,:,:
FI1C5,Etelä-Karjala,7290,40-44,3845,3445
FI1C6,Päijät-Häme,12157,40-44,6155,6002
FI1C7,Kymenlaakso,9356,40-44,4864,4492
FI1D,Pohjois- ja Itä-Suomi,76246,40-44,39518,36728
